,Datum ,NO (Âµg/mÂ³),NO2 (Âµg/mÂ³),Ozon (Âµg/mÂ³),Temperatur (Â°C),Globalstrahlung (W/mÂ²),Niederschlag (mm),Windrichtung (Â°),Windgeschwindigkeit (m/s),Unnamed: 9,Unnamed: 10,NO (Âµg/mÂ³).1,NO Max,NO2 (Âµg/mÂ³).1,NO2 Max,Ozon (Âµg/mÂ³).1,Ozon Max,Temperatur (Â°C).1,Globalstrahlung (W/mÂ²).1,Niederschlag (mm).1,Temperatur (Â°C).2,Temperatur (Â°C).3,Ozon-8h-Mittel 12-20h,Unnamed: 23,Wind-G mittel (m/s),Wind-G Max,NO2 (ppb)
0,2020-01-01 00:00:00,42.5,34.8,1.1,2.8,8.0,0.0,305.0,0.8,,1/1/2020,36.7234042553191,75.3,31.7446808510638,45.6,3.06382978723404,15.4,0.683333333333334,2176.0,0.0,4.5,-1.6,7.9,,0.90625,1.9,17.126183695372198
1,2020-01-01 00:30:00,59.8,34.3,1.6,2.6,8.0,0.0,325.0,0.6,,1/2/2020,16.1270833333333,39.8,36.0354166666667,44.8,2.4468085106383,11.6,0.691666666666667,1376.0,0.55,3.3,-1.6,6.6,,1.43125,2.4,16.86788365189447
2,2020-01-01 01:00:00,63.7,34.2,1.7,1.9,8.0,0.0,295.0,0.7,,1/3/2020,3.14791666666667,13.5,26.7770833333333,40.8,21.3595744680851,44.9,6.42916666666667,893.0,0.135,8.9,2.9,38.1,,1.61458333333333,2.1,16.776011336917048
3,2020-01-01 01:30:00,56.8,31.2,,1.1,8.0,0.0,16.0,0.4,,1/4/2020,3.44042553191489,11.2,20.4446808510638,37.7,41.863829787234,62.2,5.68958333333333,1415.0,0.385,8.6,3.1,51.4,,1.12083333333333,2.5,15.25991750627631
4,2020-01-01 02:00:00,61.3,28.4,1.1,0.5,8.0,0.0,352.0,0.3,,1/5/2020,2.18541666666667,7.8,20.3145833333333,34.7,28.5914893617021,46,5.7875,1552.0,0.0,7.1,3.9,44.7,,0.879166666666667,1.3,13.860048440598757
5,2020-01-01 02:30:00,75.3,28.2,1.0,0.1,8.0,0.0,15.0,0.4,,1/6/2020,23.49375,61.8,28.2645833333333,36.7,4.08723404255319,19.4,0.46875,2129.0,0.0,3.8,-1.7,15.3,,0.733333333333333,1.3,13.742325612069985
6,2020-01-01 03:00:00,63.4,28.6,1.5,0.2,8.0,0.0,292.0,0.7,,1/7/2020,7.23404255319149,33.1,31.7276595744681,48.2,11.7297872340426,27.7,4.4,1442.0,0.67,7.4,0.1,17.8,,1.03333333333333,2.2,13.942352766255521
7,2020-01-01 03:30:00,,,0.6,0.1,8.0,0.0,310.0,0.9,,1/8/2020,2.99375,11.8,28.3583333333333,36.6,19.436170212766,34,5.64375,892.0,1.64,8.3,2.5,23.1,,1.50416666666667,2.5,
8,2020-01-01 04:00:00,46.0,29.4,0.7,0.0,8.0,0.0,315.0,0.9,,1/9/2020,3.07555555555555,24.6,31.4266666666667,51,20.6977272727273,37.3,10.6,1032.0,0.775,12.6,8.3,25.7,,1.28125,1.9,14.321862202870015
9,2020-01-01 04:30:00,43.4,29.0,0.6,-0.4,8.0,0.0,316.0,0.7,,1/10/2020,5.3531914893617,28.2,21.8808510638298,44,44,61.8,9.38333333333333,2207.0,2.595,12.0,7.1,50,,1.71041666666667,3.0,14.106319390326652
10,2020-01-01 05:00:00,39.1,29.4,0.4,-0.6,8.0,0.0,318.0,0.9,,1/11/2020,2.8375,16.5,24.5458333333333,42.2,34.1063829787234,66.1,5.32291666666667,1987.0,0.0,7.5,2.3,47,,0.827083333333333,1.5,14.29040286799276
11,2020-01-01 05:30:00,35.5,29.7,0.4,-0.7,8.0,0.0,321.0,1.1,,1/12/2020,1.59166666666667,6.1,20.7354166666667,30.9,24.8553191489362,40.4,3.13125,1247.0,0.0,5.4,0.1,35.8,,1.425,2.4,14.430926580671517
12,2020-01-01 06:00:00,39.7,29.2,0.4,-1.0,8.0,0.0,324.0,0.9,,1/13/2020,5.10212765957447,14,29.4255319148936,48.2,22.5,43,6.46666666666667,1507.0,0.0,7.9,5.3,39.1,,1.42291666666667,2.0,14.172359025842791
13,2020-01-01 06:30:00,38.6,28.1,0.2,-1.1,8.0,0.0,333.0,0.4,,1/14/2020,3.24166666666667,19.1,33.4270833333333,57.2,26.7042553191489,55.1,9.05833333333333,1617.0,0.0,12.6,5.5,39,,1.6625,2.5,13.633457409259215
14,2020-01-01 07:00:00,47.7,30.9,0.4,-1.2,8.0,0.0,305.0,0.7,,1/15/2020,4.12916666666667,37.2,31.8375,62.1,35.2787234042553,62.8,10.58125,2709.0,0.0,13.7,7.0,45.9,,1.17291666666667,1.9,14.986440652152012
15,2020-01-01 07:30:00,45.8,29.3,0.3,-1.2,8.0,0.0,301.0,0.9,,1/16/2020,4.51702127659574,48,24.2255319148936,69.5,44.7510638297872,60.9,11.76875,2708.0,0.0,14.5,9.3,54.7,0.8,1.29583333333333,3.0,14.210443725179742
16,2020-01-01 08:00:00,38.1,29.6,0.2,-1.0,8.0,0.0,309.0,0.9,,1/17/2020,8.84375,40.6,33.06875,57.4,18.7894736842105,43.3,7.58541666666667,1583.0,0.0,9.9,3.7,46.8,0.7,1.3375,2.2,14.366500930306392
17,2020-01-01 08:30:00,41.7,31.3,0.5,-1.2,11.0,0.0,298.0,1.2,,1/18/2020,2.58125,9.6,23.1645833333333,41.5,38.3852941176471,60.2,5.43541666666667,1645.0,0.0,8.3,1.7,#DIV/0!,0.7,1.02083333333333,2.3,15.180439883895081
