Datum ,NO (µg/m³),NO2 (µg/m³),Ozon (µg/m³),Temperatur (°C),Globalstrahlung (W/m²),Niederschlag (mm),Windrichtung (°),Windgeschwindigkeit (m/s),Taupunkt (°C),,NO (µg/m³),NO Max,NO2 (µg/m³),NO2 Max,Ozon (µg/m³),Ozon Max,Temperatur (°C),Globalstrahlung (W/m²),Niederschlag (mm),Temperatur (°C),Temperatur (°C),Ozon-8h-Mittel 12-20h,,Wind-G mittel (m/s),Wind-G Max
1/1/2014 0:30,11.4,31.3,13,5.1,0,0,122,0.7,,1/1/2014,4.99574468085106,11.4,19.5723404255319,34.5,30.2936170212766,54.9,7.16666666666666,1562,0.24,9.7,3.8,45.7,,1.65416666666667,4.1
1/1/2014 1:00,6.4,28.8,14,4.9,0,0,148,1.6,,1/2/2014,4.42708333333333,14.6,17.2479166666667,35.2,45.2702127659575,60.3,8.92291666666667,847,3.66,10.7,6.7,54.9,,1.69375,2.8
1/1/2014 1:30,6.1,28.6,12.7,4.5,0,0,123,1.2,,1/3/2014,6.85208333333333,16.8,22.3854166666667,46.8,32.9553191489362,71.1,9.14583333333333,797,0.11,11.7,6.6,38.1,,1.5,2.4
1/1/2014 2:00,7.3,28.1,10.9,4.2,0,0,141,1.4,,1/4/2014,8.78297872340426,43.9,20.8914893617021,54.5,33.8127659574468,63.3,8.70416666666667,612,1.21,10.8,7,57.8,,1.47291666666667,3.6
1/1/2014 2:30,7.8,29.4,8.3,3.8,0,0,138,1,,1/5/2014,5.84583333333333,18.6,20.2145833333333,42.3,40.763829787234,72.5,6.49791666666666,1070,1.1,8.3,3.9,58.5,,1.18958333333333,2.2
1/1/2014 3:00,4.6,25.9,12.1,4.2,0,0,132,1.4,,1/6/2014,5.34166666666667,13.2,18.91875,35.4,32.9468085106383,44.4,7.67708333333333,1062,0.63,11.8,2.8,38.8,,1.60625,2.4
1/1/2014 3:30,,,10.8,4.1,0,0,133,1.3,,1/7/2014,18.063829787234,111.9,38.0276595744681,70,17.2957446808511,40.2,11.6666666666667,1553,1.78,14,10.1,26.1,,1.11666666666667,2
1/1/2014 4:00,8.6,29.9,7.4,4.3,0,0,126,1,,1/8/2014,19.1791666666667,49.5,35.0395833333333,50.1,12.636170212766,35.1,11.2541666666667,1770,1.79,14.2,9.1,18.4,,1.03541666666667,1.9
1/1/2014 4:30,4.6,32.1,,5,0,0,149,1.2,,1/9/2014,14.7375,35.5,26.9833333333333,48.3,27.3957446808511,67.3,11.0041666666667,1669,0.2,14.1,8.9,54.8,,1.79166666666667,4.3
1/1/2014 5:00,3.9,34.5,8.6,5.1,0,0.05,146,1.4,,1/10/2014,16.668085106383,41.9,33.0021276595745,57.5,28.5340425531915,62.5,7.225,1950,0,9.5,4.2,61.9,,1.35,3
1/1/2014 5:30,3.6,32,10,4.8,0,0.05,148,1.7,,1/11/2014,31.3395833333333,72.5,35.5895833333333,47,3.81914893617021,18.4,3.8375,517,0.98,6.3,0.7,7.7,,0.625,1.5
1/1/2014 6:00,3.9,29.6,10.5,4.5,0,0.1,136,1.4,,1/12/2014,9.99166666666667,50.7,20.3416666666667,44.1,24.5808510638298,66.1,3.10416666666667,2212,0,6.4,0.3,47.1,,1.06875,3
1/1/2014 6:30,3.7,29.2,13,4.4,0,0.04,140,1.7,,1/13/2014,33.2893617021277,105.4,35.4744680851064,50.2,3.94042553191489,21,3.93333333333333,429,8.7,5.9,-0.7,28.4,,1.02083333333333,1.9
1/1/2014 7:00,3.4,28.5,15.7,4.6,0,0,150,1.7,,1/14/2014,32.0270833333333,90.4,36.2458333333333,53.1,12.7531914893617,50.5,5.95208333333333,1082,0.54,7.1,4.7,30.5,,0.747916666666666,1.4
1/1/2014 7:30,3.1,28.5,17.1,4.9,0,0,148,1.3,,1/15/2014,7.26875,33.6,22.175,54.2,26.336170212766,39.8,5.2125,1900,0,6.9,3.4,30.0,,1.44375,2.1
1/1/2014 8:00,4.6,26.9,19.4,5.2,0,0,156,1.4,,1/16/2014,27.9961538461538,106.1,45.8615384615385,74.7,22.4404255319149,57.4,7.5625,1055,3.54,10.8,5.1,31.8,12.2,1.31875,2.2
1/1/2014 8:30,3,23.3,23.5,5.4,2,0,155,1.8,,1/17/2014,10.5148936170213,49.7,32.5425531914894,59.9,32.0914893617021,62.5,7.84791666666667,2079,0,11,5.1,56.9,12.9,1.37708333333333,2.6
1/1/2014 9:00,3.2,20.5,27.3,5.7,9,0,155,1.8,,1/18/2014,30.8645833333333,93.6,38.1145833333333,56.5,11.8702127659574,26.9,4.51458333333333,2452,0,6.1,2.7,18.5,13.8,1.1625,3.2
1/1/2014 9:30,3.9,19.7,30.1,6,25,0,155,1.6,,1/19/2014,49.3645833333333,104.3,36.09375,47.2,3.57659574468085,11.9,3.45,1990,0,6.2,1.4,16.5,15.0,0.870833333333333,1.7
1/1/2014 10:00,6.5,21.2,23.7,5.8,68,0,135,1.3,,1/20/2014,80.7787234042553,153.8,35.963829787234,48.9,1.54042553191489,5,3.77083333333333,656,0.22,4.9,1.2,2.3,15.8,0.914583333333333,1.8
1/1/2014 10:30,5.9,21.8,23,6,61,0,128,1,,1/21/2014,52.1895833333333,126.6,32.6958333333333,52.5,1.52553191489362,3.3,3.9,460,0.89,4.5,3.4,2.2,16.8,0.91875,2
1/1/2014 11:00,8.1,23.9,18.4,6.1,75,0,135,0.9,,1/22/2014,67.9166666666667,132.9,40.3645833333333,62.8,1.56521739130435,3.4,5.14583333333333,567,0,6,4.4,2.0,17.2,0.635416666666667,1.3
1/1/2014 11:30,9.7,23,19.1,6.1,98,0,128,0.9,,1/23/2014,24.263829787234,105.1,35.5404255319149,51.1,5.05957446808511,21.3,4.97083333333333,824,3.08,6,3.5,8.0,17.8,1.15208333333333,1.9
1/1/2014 12:00,10.1,19.3,25.6,7.3,215,0,127,1.1,,1/24/2014,22.05,58.5,43.3979166666667,67.4,19.9553191489362,54.9,4.05208333333333,368,5.65,5.1,3.5,38.5,19.0,1.35416666666667,3.5
1/1/2014 12:30,10.1,17.1,28.4,7.7,220,0,120,1.3,,1/25/2014,32.2020833333333,76.5,40.94375,52.9,4.25106382978723,16.9,3.1375,1337,0.88,4.4,1.4,7.0,19.6,0.927083333333333,2
1/1/2014 13:00,7.1,14.3,36.5,8.7,229,0,121,1.3,,1/26/2014,4.46808510638298,14.3,15.9595744680851,32.7,55.6872340425532,66.6,5.14791666666667,1494,4.66,6.5,2.1,61.2,21.3,2.10625,4.1
1/1/2014 13:30,6.5,13.1,41.4,9.2,142,0,125,1.3,,1/27/2014,9.36363636363637,45.7,31.975,69.8,42.3395348837209,67,4.94791666666667,2296,1.5,6.5,3.8,61.1,23.3,1.54166666666667,2.2
1/1/2014 14:00,5.9,12.6,44.5,9.6,118,0,150,1.4,,1/28/2014,3.4125,19.9,21.4104166666667,44.6,40.8787234042553,62,4.73958333333333,3093,0.14,8.2,2.4,51.4,25.4,2.20625,5.3
1/1/2014 14:30,5.6,11.9,45.8,9.7,107,0,149,1.7,,1/29/2014,0.659574468085107,2.3,12.7617021276596,17,49.036170212766,59.1,1.89583333333333,2336,0,3.2,1.2,55.8,27.5,4.0125,5.2
1/1/2014 15:00,5.6,15.6,38.6,9.6,79,0,128,1.3,,1/30/2014,7.15744680851064,37.4,25.5893617021277,62.7,27.204347826087,41.9,2.08541666666667,3004,0,4.7,0.4,44.5,28.9,1.83541666666667,3.4
1/1/2014 15:30,6.7,18.6,37.8,9.6,74,0,145,1.2,,1/31/2014,20.8416666666667,67.6,44.0625,63.2,14.6085106382979,40.7,2.54166666666667,3149,0,5.5,-0.8,28.4,30.2,0.991666666666667,2
1/1/2014 16:00,3.7,11.7,44.9,9.5,31,0,96,2.5,,2/1/2014,9.4063829787234,33.9,42.6297872340426,56.4,23.8297872340425,49.2,5.65208333333333,1809,3.1,8.7,2.3,37.8,31.8,1.21875,2.1
1/1/2014 16:30,2.7,10.9,45.2,9.5,9,0,91,2.9,,2/2/2014,5.19166666666667,14.8,27.4604166666667,42.8,33.0893617021276,48.7,5.51458333333334,1801,2.09,7.6,3.6,40.9,33.1,0.858333333333334,1.4
1/1/2014 17:00,3,10.3,47.5,9.6,0,0,97,2.6,,2/3/2014,14.6520833333333,87.7,26.0458333333333,61.3,18.2851063829787,48.3,4.1,2027,0,6,1.5,31.1,34.4,1.57291666666667,3.6
1/1/2014 17:30,2.5,10.6,47.9,9.7,0,0,89,4.1,,2/4/2014,21.8042553191489,76.4,38.6808510638298,55,6.91702127659575,16.6,5.53958333333333,1421,0,8.5,3.1,15.2,35.5,1.32708333333333,3.6
1/1/2014 18:00,4,17,40.2,9.5,0,0,119,2,,2/5/2014,25.4208333333333,143.9,40.2541666666667,61.8,14.1574468085106,34.1,4.50208333333333,1122,1.7,6.5,1.7,22.4,36.6,1.50625,3.9
1/1/2014 18:30,4.5,21.7,33.6,9.2,0,0,140,1.5,,2/6/2014,7.86458333333334,37.8,28.75625,61,42.98,56.1,9.025,3005,0,11.7,6.3,,37.2,1.725,3.1
1/1/2014 19:00,3.8,20.9,33.9,9,0,0,140,1.7,,2/7/2014,8.55744680851064,23.9,28.8085106382979,51.8,,0,10.0479166666667,1521,0,12.7,6.2,,38.2,1.92083333333333,3.9
1/1/2014 19:30,2.6,13.1,42,9.1,0,0,92,2.8,,2/8/2014,1.39166666666667,4.8,16.8125,28.5,,0,7.2,1457,2.64,10.3,5,,39.6,1.91666666666667,2.9
1/1/2014 20:00,3.3,13.5,39.9,8.7,0,0,88,2.9,,2/9/2014,2.83333333333333,16,12.80625,26.1,,0,5.98333333333333,2427,2.24,8.6,3.2,,40.5,1.66458333333333,3.2
1/1/2014 20:30,3.8,14.2,42.2,8.9,0,0,134,2.1,,2/10/2014,13.8851063829787,98.6,29.2936170212766,85.8,,0,5.46041666666667,1318,1.07,7,3.4,,41.4,2.90208333333333,8.4
1/1/2014 21:00,3.4,11.5,46.2,9.1,0,0,121,1.7,,2/11/2014,15.91875,56.1,40.3979166666667,65.9,,0,6.075,2410,0,8.6,4,,42.0,1.34166666666667,2.2
1/1/2014 21:30,2.9,10.2,48.2,9.1,0,0,123,1.8,,2/12/2014,12.0104166666667,46.2,36.1208333333333,62.7,44.25,57.3,6.25,3016,0.17,8.8,3.5,,42.4,1.55625,2.7
1/1/2014 22:00,2.8,9.2,50.2,9.3,0,0,114,2.2,,2/13/2014,6.75957446808511,21.8,26.5702127659574,46.3,52.5553191489362,69.5,6.94375,1132,11.46,8.5,5.9,57.8,42.8,1.69583333333333,3
1/1/2014 22:30,2.9,8,51.8,9.4,0,0,116,1.9,,2/14/2014,5.05,29.3,22.5020833333333,60.9,53.3468085106383,70.5,7.1375,3329,1.27,10.7,4.3,64.4,43.1,2.02708333333333,4.3
1/1/2014 23:00,2.7,6.7,53.2,9.4,0,0,117,2,,2/15/2014,2.96875,12,24.86875,44.2,43.9829787234042,68.8,9.49166666666667,630,3.75,11.8,6.8,57.7,44.0,1.85,3.2
1/1/2014 23:30,2.5,5.6,54.9,9.4,0,0,115,1.9,,2/16/2014,2.68723404255319,9.8,15.5170212765957,39.9,58.6212765957447,72.8,7.4125,3099,0.26,10,5.3,67.3,45.1,1.51666666666667,3
1/2/2014 0:00,2.8,5.6,54.8,9.5,0,0,122,1.5,,2/17/2014,15.0208333333333,61.9,30.2375,61.1,32.0297872340425,63.1,7.6,5354,0,12.3,3.9,43.5,45.7,1.1875,2.3
1/2/2014 0:30,2.8,5.1,54.6,9.4,0,0,96,1.5,,2/18/2014,37.725,237.3,45.28125,88.6,22.4531914893617,52.2,7.61041666666667,4261,0,11.5,4.2,47.2,46.3,1.03958333333333,1.8
1/2/2014 1:00,2.6,4.8,56.5,9.7,0,0,113,2.2,,2/19/2014,15.331914893617,50.2,41.3446808510638,64.7,27.4276595744681,54,8.63958333333333,3734,2.61,11.6,6.3,40.0,46.9,1.21458333333333,2.3
1/2/2014 1:30,2.6,4.7,,9.5,0,0,111,2.1,,2/20/2014,9.47291666666667,36.9,35.3083333333333,59.3,33.0787234042553,67.6,9.1875,4625,0.09,12.6,5.9,45.7,46.8,1.43958333333333,2.4
