Datum ,NO (µg/m³),NO2 (µg/m³),Ozon (µg/m³),Temperatur (°C),Globalstrahlung (W/m²),Niederschlag (mm),Windrichtung (°),Windgeschwindigkeit (m/s),,,NO (µg/m³),NO Max,NO2 (µg/m³),NO2 Max,Ozon (µg/m³),Ozon Max,Temperatur (°C),Globalstrahlung (W/m²),Niederschlag (mm),Temperatur (°C),Temperatur (°C),Ozon-8h-Mittel 12-20h,,Wind-G mittel (m/s),Wind-G Max
1/1/2017 0:30,,,,,,,,,,1/1/2017,,,14.2,14.2,38.1,38.1,-1.1,8,,-1.1,-1.1,,,0.3,0.3
1/1/2017 1:00,,,,,,,,,,1/2/2017,17.7833333333333,51.8,34.6708333333333,49.5,15.4127659574468,47.7,0.510416666666667,679,2.88,1.1,-1,42.2,,0.70625,1.2
1/1/2017 1:30,,,,,,,,,,1/3/2017,5.38125,15.6,31.1625,40.6,23.3936170212766,52.9,0.93125,1185,0.015,2,0.1,39.3,,1.04791666666667,1.7
1/1/2017 2:00,,,,,,,,,,1/4/2017,5.2531914893617,26,24.8553191489362,47,32.5127659574468,53.4,1.31875,601,0.775,2.7,-0.1,44.6,,1.0375,1.7
1/1/2017 2:30,,,,,,,,,,1/5/2017,13.4291666666667,93.3,26.9875,71,42.3127659574468,70,-0.197916666666667,2576,0.22,1.7,-4.6,55.6,,1.03333333333333,2.2
1/1/2017 3:00,,,,,,,,,,1/6/2017,1.18541666666667,9.6,14.08125,31,55.6914893617021,71.8,-4.8875,2712,0,-2.4,-6.8,68.7,,1.22083333333333,2.8
1/1/2017 3:30,,,,,,,,,,1/7/2017,4.70425531914894,13.5,35.2042553191489,54.9,29.3617021276596,45.1,-5.32916666666667,1743,0.8,-3.2,-7.8,60.7,,1.19791666666667,2.1
1/1/2017 4:00,,,,,,,,,,1/8/2017,4.20208333333333,13.6,32.0645833333333,47.7,21.0765957446809,53.5,-1.05625,691,1.695,0.4,-3.1,35.4,,0.81875,1.2
1/1/2017 4:30,,,,,,,,,,1/9/2017,12.7729166666667,37.1,43.3333333333333,56.8,7.9,26.3,0.952083333333333,1055,0,1.7,0.3,9.7,,1.24375,2
1/1/2017 5:00,,,,,,,,,,1/10/2017,26.0382978723404,91.2,44.9978723404255,79.4,28.4468085106383,62.8,0.770833333333334,1289,1.955,1.6,0.1,52.8,,1.13125,2.2
1/1/2017 5:30,,,,,,,,,,1/11/2017,9.98085106382979,31.6,40.9234042553192,54.7,17.7913043478261,39.7,2.475,869,0.78,4.6,0.2,30.8,,1.09583333333333,2
1/1/2017 6:00,,,,,,,,,,1/12/2017,5.34375,23.6,29.3791666666667,64.1,47.6489361702128,72.3,5.06875,1383,2.86,6.8,3.9,54.8,,1.44583333333333,4
1/1/2017 6:30,,,,,,,,,,1/13/2017,9.8531914893617,31.6,26.6723404255319,59,54.1723404255319,80.8,3.56666666666667,1046,0.06,7.3,0.9,73.2,,2.16666666666667,3.8
