Datum ,NO (µg/m³),NO2 (µg/m³),Ozon (µg/m³),Temperatur (°C),Globalstrahlung (W/m²),Niederschlag (mm),Windrichtung (°),Windgeschwindigkeit (m/s),Taupunkt (°C),,NO (µg/m³),NO Max,NO2 (µg/m³),NO2 Max,Ozon (µg/m³),Ozon Max,Temperatur (°C),Globalstrahlung (W/m²),Niederschlag (mm),Temperatur (°C),Temperatur (°C),Ozon 8h-Mittel,
1/1/2009 0:30,102,62.73,1.87,-1.67,0,0,105,0.35,-4,1/1/2009,48.8510638297872,113,49.8848936170213,63.32,2.19914893617021,12.56,-2.13770833333333,444,0.06,-0.17,-6.81,4,
1/1/2010 1:00,113,62.2,1.87,-1.55,0,0,318,1.01,-3.84,1/2/2009,60.4255319148936,105,53.7304255319149,71.01,1.84914893617021,5.46,-3.63729166666667,845,0,-0.42,-7.29,3,
1/1/2010 1:30,,,,-1.84,0,0,293,0.85,-4,1/3/2009,24.936170212766,105,39.2712765957447,69.85,11.5057446808511,30.92,-3.00625,1700,0,0.45,-5.61,25,
1/1/2010 2:00,101,60.87,1.55,-1.57,0,0,92,0.34,-3.79,1/4/2009,15.6808510638298,41,39.1748936170213,52.1,4.5436170212766,18.4,-3.91333333333333,480,0,-1.56,-6.48,7,
1/1/2010 2:30,113,63.32,1.64,-1.2,0,0,247,0.5,-3.47,1/5/2009,17.6818181818182,73,34.4540909090909,66.73,18.6053333333333,42.13,-2.56520833333333,464,2.21,-1.57,-3.96,26,
1/1/2010 3:00,100,59.51,1.63,-1.3,0,0,322,0.71,-3.59,1/6/2009,10.0212765957447,29,31.696170212766,61.9,20.0178723404255,38.79,-5.78979166666667,654,0,-3.02,-10.23,36,
1/1/2010 3:30,87,56.31,0.92,-1.48,0,0,309,0.93,-3.8,1/7/2009,83.3191489361702,240,74.2855319148936,101.67,3.00489361702128,10.7,-9.5775,1010,0,-5.48,-14.52,7,
1/1/2010 4:00,84,55,1.36,-1.39,0,0,297,0.84,-3.87,1/8/2009,68.4042553191489,168,66.3736170212766,95.05,8.38866666666667,38.33,-7.21979166666667,1532,0,-1.09,-10.97,19,
1/1/2010 4:30,76,56.87,1.15,-1.14,0,0,289,0.56,-3.85,1/9/2009,98.3958333333333,230,67.08,98.76,10.5445833333333,28.6,-8.285,1825,0,-5.56,-11.83,14,
1/1/2010 5:00,74,55.15,0.94,-1.01,0,0,235,0.23,-3.81,1/10/2009,137.510638297872,226,83.1714893617021,106.25,4.12936170212766,11.92,-9.31895833333333,1606,0,-5.7,-11.96,10,
1/1/2010 5:30,61,51.01,0.89,-0.94,0,0,182,0.64,-3.87,1/11/2009,119.893617021277,220,84.5508510638298,128.5,4.05085106382979,11.85,-8.803125,1547,0,-4.53,-12.49,7,
1/1/2010 6:00,65,52.81,0.86,-0.91,0,0,174,0.81,-3.94,1/12/2009,159.234042553192,306,102.269787234043,151.82,3.75723404255319,11.27,-7.988125,1720,0,-1.86,-12.31,6,
1/1/2010 6:30,94,54.71,1.04,-0.85,0,0,152,0.59,-3.38,1/13/2009,170.765957446809,383,111.100212765957,180.67,3.06234042553191,7.52,-3.09520833333333,2027,0,3.67,-7.28,6,
1/1/2010 7:00,77,50.32,0.55,-0.72,0,0,159,0.32,-3.03,1/14/2009,145.382978723404,309,90.8431914893617,142.28,1.34021276595745,4.15,-3.39645833333333,441,1.23,-0.51,-8.66,3,
1/1/2010 7:30,69,46.44,0.5,-0.8,0,0,113,0.29,-2.94,1/15/2009,112.893617021277,288,75.311914893617,109.83,1.79276595744681,4.58,-0.646666666666667,873,0,0.9,-2.45,3,
1/1/2010 8:00,61,42.05,0.34,-0.75,0,0,114,0.42,-2.66,1/16/2009,44.1702127659574,99,58.2942553191489,78.51,5.99489361702128,18.4,-0.090208333333333,1950,0,2.05,-3.49,11,1
1/1/2010 8:30,51,36.46,0,-0.59,4,0,103,0.28,-2.35,1/17/2009,29.8085106382979,85,56.131914893617,71.44,5.44531914893617,18.31,1.5775,1066,0.15,4.86,-4.34,8,1
1/1/2010 9:00,42,34.42,0.16,-0.5,4,0,137,0.37,-2.13,1/18/2009,2.12765957446808,7,27.7936170212766,42.22,36.6678723404255,59.43,4.383125,283,4.67,5.82,2.61,47,1
1/1/2010 9:30,37,34.61,0.41,-0.39,6,0,76,0.07,-2.01,1/19/2009,3.13636363636364,26,26.0861363636364,53,34.6111363636364,52.58,5.40854166666667,520,1.35,9.15,2.2,48,1
1/1/2010 10:00,38,34.11,0.09,-0.3,10,0,101,0.24,-1.86,1/20/2009,21.3541666666667,92,42.1566666666667,85.79,28.140625,58.21,3.97416666666667,1268,0,6.84,1.3,50,1
1/1/2010 10:30,40,35.11,0.33,-0.17,14,0,52,0.11,-1.67,1/21/2009,67.0212765957447,216,52.4123404255319,82.16,2.2836170212766,9.66,1.54083333333333,1540,0,4.2,-0.97,9,1
1/1/2010 11:00,47,39.61,0.43,-0.17,17,0.06,286,0.59,-1.59,1/22/2009,20.8085106382979,124,34.2425531914894,64.03,19.3151063829787,42.28,2.56895833333333,2187,0,5.6,-0.73,34,1
1/1/2010 11:30,39,35.48,1.12,-0.27,34,0,291,1.13,-1.58,1/23/2009,4.29787234042553,12,15.9663829787234,26.35,41.3321276595745,58.67,5.57145833333333,499,7.76,9.16,3.08,53,1
1/1/2010 12:00,43,40.71,2.09,-0.56,56,0,292,2.27,-1.95,1/24/2009,21,102,31.1893617021277,70.49,29.0693617021277,58.43,3.16729166666667,1968,0,5.25,0.69,56,1
