Datum ,NO (µg/m³),NO2 (µg/m³),Ozon (µg/m³),Temperatur (°C),Globalstrahlung (W/m²),Niederschlag (mm),Windrichtung (°),Windgeschwindigkeit (m/s),Taupunkt (°C),,NO (µg/m³),NO Max,NO2 (µg/m³),NO2 Max,Ozon (µg/m³),Ozon Max,Temperatur (°C),Globalstrahlung (W/m²),Niederschlag (mm),Temperatur (°C),Temperatur (°C),,Ozon 8h-Mittel
1/1/2010 0:30,15,33.99,15.05,6.28,0,0.05,160,1.2,4.82,1/1/2010,8.38297872340426,39,19.4270212765957,43.25,15.6829787234043,31.04,1.459375,616,0.14,6.28,-0.87,26,
1/1/2010 1:00,6,37.75,10.71,6.12,0,0.01,164,1.22,4.7,1/2/2010,5.60416666666667,16,20.4408333333333,43.37,38.9145833333333,52.57,-1.36229166666667,1869,0.23,-0.04,-2.7,45,
1/1/2010 1:30,4,35.9,11.85,6.13,0,0,166,1.07,4.73,1/3/2010,3.5531914893617,19,19.3131914893617,45.33,33.5374468085106,48.05,-1.42520833333333,329,0.91,0.03,-4.59,45,
1/1/2010 2:00,9,31.89,20.82,6.1,0,0,197,1.09,4.69,1/4/2010,17.8409090909091,56,37.3763636363636,51.83,11.5968181818182,36.39,-4.63291666666667,1517,0.01,-3.53,-5.8,27,
1/1/2010 2:30,34,43.25,2.7,5.01,0,0,294,1.8,3.6,1/5/2010,56.7659574468085,162,40.8572340425532,81.49,19.4368085106383,50.38,-6.425625,1301,0,-3.23,-10.38,43,
1/1/2010 3:00,39,36.27,1.28,4.25,0,0,305,1.72,2.97,1/6/2010,19.531914893617,55,36.9765957446808,73.53,22.9436170212766,49.43,-4.90604166666667,879,0,-4.12,-5.67,48,
1/1/2010 3:30,34,30.3,1.29,3.74,0,0,308,2.29,2.5,1/7/2010,59.0425531914894,118,55.1268085106383,73.8,4.7863829787234,17.44,-3.438125,1568,0,-1.16,-5.53,8,
1/1/2010 4:00,29,27.54,1.38,3.45,0,0,316,2.22,2.22,1/8/2010,7.51063829787234,26,25.7036170212766,42.47,31.5802127659574,51.79,-2.8875,1760,0.38,-0.96,-5.62,36,
1/1/2010 4:30,29,25.64,1.27,3.26,0,0,309,2.31,2.01,1/9/2010,4.42553191489362,11,17.3091489361702,26.9,36.3127659574468,44.07,-4.06208333333333,675,1.25,-2.38,-5.91,40,
1/1/2010 5:00,25,23.39,1.35,3.02,0,0,318,2.54,1.76,1/10/2010,13.2127659574468,34,31.6023404255319,64.14,19.3372340425532,39.03,-3.50854166666666,785,0.64,-2.6,-4.62,38,
1/1/2010 5:30,19,23.96,1.24,2.95,0,0,317,2.39,1.67,1/11/2010,43.4375,106,54.2689583333333,75.95,3.70020833333333,7.46,-3.27145833333333,375,2.42,-2.61,-3.86,9,
1/1/2010 6:00,8,24.39,1.95,2.54,0,0,319,2.33,1.23,1/12/2010,13.2127659574468,61,37.3155319148936,57.69,10.1412765957447,36.19,-1.941875,336,0.02,-0.93,-2.93,17,
1/1/2010 6:30,2,20.01,3.14,2.26,0,0,325,2.48,0.88,1/13/2010,24.0212765957447,98,38.7859574468085,78.29,16.0746808510638,35.29,-3.12520833333333,1400,0.27,-1.49,-4.59,25,
1/1/2010 7:00,2,19.51,2.68,2.13,0,0,319,2.35,0.7,1/14/2010,56.3404255319149,136,48.8068085106383,82.3,14.6636170212766,42.21,-0.541041666666666,1975,0,2.19,-2.47,34,
1/1/2010 7:30,2,18.77,3.48,1.93,0,0,321,2.53,0.49,1/15/2010,10.6808510638298,75,30.7925531914894,68.47,22.0255319148936,43.97,-0.475625,1034,0,0.25,-1.31,38,
1/1/2010 8:00,1,17.88,4.64,1.7,0,0,325,2.5,0.26,1/16/2010,2.51063829787234,10,26.326170212766,36.1,23.3168085106383,34.22,-0.883333333333334,1962,0.97,0.61,-2.31,30,5
1/1/2010 8:30,1,14.67,6.58,1.45,6,0,319,2.83,0.03,1/17/2010,6.93617021276596,61,32.1621276595745,66,28.7346808510638,51.07,3.49020833333333,321,11.35,5.2,0.88,43,5
1/1/2010 9:00,2,14.56,7.76,1.36,8,0,318,2.54,-0.06,1/18/2010,25.5681818181818,106,44.5447727272727,81.48,17.4115555555556,39.66,3.37125,1982,0,5.09,1.87,34,5
1/1/2010 9:30,3,11.29,9.71,1.28,15,0,314,2.53,-0.17,1/19/2010,45.9574468085106,90,52.0868085106383,74.73,4.45808510638298,23.63,0.526041666666667,1018,0,1.64,-0.04,9,4
1/1/2010 10:00,5,10.13,11.83,1.36,40,0,309,2.42,-0.16,1/20/2010,28.6875,116,30.724375,60.51,22.9470833333333,45.67,0.914375,1487,0,2.57,0.06,43,4
1/1/2010 10:30,5,8.78,13.9,1.36,78,0,309,2.42,-0.27,1/21/2010,36.2553191489362,138,40.4310638297872,90.08,17.3827659574468,42.68,0.957708333333334,906,0,1.87,0.14,43,5
1/1/2010 11:00,5,7.93,15.23,1.49,73,0,309,2.64,-0.28,1/22/2010,3.48936170212766,28,19.7023404255319,45.07,26.4312765957447,40.34,1.21979166666667,2088,0,4.12,-2.09,37,5
1/1/2010 11:30,5,8.86,16.42,1.24,68,0,311,2.98,-0.58,1/23/2010,0.872340425531915,2,14.6174468085106,22.75,37.3204255319149,50.12,-1.44166666666667,848,0,-0.57,-2.43,44,6
1/1/2010 12:00,4,9.04,17.72,1.1,54,0,315,2.8,-0.73,1/24/2010,16.4893617021277,67,32.0817021276596,63.52,18.5197872340426,36.42,-0.383958333333333,1132,3.15,0.28,-0.68,33,7
1/1/2010 12:30,4,10.36,20.14,0.78,32,0,322,3.61,-1.17,1/25/2010,36.2127659574468,66,49.3536170212766,69.13,3.23510638297872,7.72,-1.69541666666667,301,2.16,-0.49,-2.38,6,9
1/1/2010 13:00,5,10.91,22.34,0.67,41,0,318,3.11,-1.41,1/26/2010,13.2340425531915,47,40.2178723404255,79.45,27.9263829787234,61,-4.02541666666667,513,0,-2.13,-8.35,54,10
1/1/2010 13:30,5,14.43,20.29,0.75,41,0,317,2.86,-1.39,1/27/2010,43.6382978723404,144,71.7546808510638,105.22,13.3036170212766,33.43,-7.49041666666667,1397,0.47,-4.13,-10.96,39,11
1/1/2010 14:00,5,16.86,20.92,0.77,38,0,318,3.34,-1.5,1/28/2010,14,41,37.7648936170213,62.97,24.4231914893617,52.3,-1.22104166666667,772,6,0.99,-4.36,37,12
1/1/2010 14:30,7,17.2,22.37,0.58,38,0,319,2.91,-1.89,1/29/2010,10.1875,24,32.4547916666667,47.11,28.8039583333333,42.4,0.439375,633,2.87,1.01,-0.24,35,14
1/1/2010 15:00,7,18.22,20.45,0.81,35,0,323,2.53,-1.75,1/30/2010,8.21276595744681,59,28.9955319148936,77.48,46.3253191489362,63.08,-1.46458333333333,1020,3.14,0.3,-6.24,54,15
1/1/2010 15:30,5,18.92,19.1,0.58,26,0,324,2.96,-1.88,1/31/2010,6.06382978723404,25,33.0172340425532,67.64,30.9321276595745,46.05,-3.17708333333333,1439,0.48,-0.21,-6.63,41,16
