Datum ,NO (µg/m³),NO2 (µg/m³),Ozon (µg/m³),Temperatur (°C),Globalstrahlung (W/m²),Niederschlag (mm),Windrichtung (°),Windgeschwindigkeit (m/s),Taupunkt (°C),,NO (µg/m³),NO Max,NO2 (µg/m³),NO2 Max,Ozon (µg/m³),Ozon Max,Temperatur (°C),Globalstrahlung (W/m²),Niederschlag (mm),Temperatur (°C),Temperatur (°C),Niederschlag (mm) max,Globalstrahlung (W/m²) max,WindgescIwindigkeit,Windgeschwindigkeit,Ozon 8h-Mittel,
1/1/2013 0:30,10.3,31.6,31.2,8,0,0,144,1.9,,1/1/2013,4.62340425531915,14.5,16.9723404255319,49.5,47.6042553191489,65.5,6.96875,590,1.41,8.1,3.7,0.28,70,1.525,2.5,54,
1/1/2013 1:00,14.5,49.5,13.7,7.3,0,0,128,1.2,,1/2/2013,11.7409090909091,32.5,33.7568181818182,58.7,23.1409090909091,33.7,3.9625,1198,0,6.1,2.4,0,144,1.09583333333333,1.6,49,
1/1/2013 1:30,4.5,37.6,21.5,6.6,0,0,124,1,,1/3/2013,6.56382978723404,16.6,28.4234042553191,41.1,24.0404255319149,32.7,4.61041666666667,257,1.83,6.6,3.1,0.92,28,1.71875,2.4,27,
1/1/2013 2:00,3.4,30.2,26.6,6.1,0,0,116,1.1,,1/4/2013,13.7851063829787,36.3,26.5063829787234,38.4,11.7297872340426,24.6,7.84583333333333,301,0.55,8.9,6.6,0.18,33,0.7875,1.8,24,
1/1/2013 2:30,,,41.5,7.1,0,0,152,1.6,,1/5/2013,13.2574468085106,31.2,25.0978723404255,44.2,27.5851063829787,46.4,8.57708333333333,327,0,9.1,7.9,0,31,1.87708333333333,3.3,38,
1/1/2013 3:00,2.4,15.9,51.6,7.7,0,0,160,1.6,,1/6/2013,7.88297872340426,27.3,19.7531914893617,41.5,23.7914893617021,41.2,7.65,555,0.12,8.4,6.4,0.1,81,1.22291666666667,2.3,35,
1/1/2013 3:30,2.2,14.2,,7.6,0,0,167,1.4,,1/7/2013,25.8170212765957,67.9,37.7042553191489,51,8.69787234042554,23.9,7.44166666666667,1635,0,9.2,6.2,0,223,0.879166666666667,1.7,20,
1/1/2013 4:00,2.1,14.7,48.3,7.2,0,0,154,1.9,,1/8/2013,30.4063829787234,95.5,40.8659574468085,65.7,8.48723404255319,23.7,5.12708333333333,450,0,6.1,4.1,0,50,1.45833333333333,2.5,13,
1/1/2013 4:30,1.9,15.4,47.9,7.1,0,0,155,2.1,,1/9/2013,19.2723404255319,46.4,31.9936170212766,45.7,12.0042553191489,23.9,3.7625,430,1.04,4.6,2.4,0.32,48,1.36666666666667,1.9,18,
1/1/2013 5:00,2.2,17.1,45.7,7,0,0,151,1.6,,1/10/2013,27.4404255319149,65.7,25.9234042553191,41,4.89148936170213,14.8,3.3,387,0.01,4.5,2.5,0.01,60,1.27083333333333,2.1,11,
