date,Time,NO2 (µg/m³),Globalstrahlung (W/m²),Temperatur (°C),Windgeschwindigkeit (m/s),Windrichtung (°),hour,uhrzeit
03-01 00:00-00,2020-03-01 00:00:00,16.74,6.2,2.9200000000000004,1.22,182.0,00:00:00,0
03-01 00:30-00,2020-03-01 00:30:00,16.18,6.2,2.8200000000000003,1.48,185.2,00:30:00,0
03-01 01:00-00,2020-03-01 01:00:00,14.739999999999998,6.2,2.82,1.1800000000000002,183.2,01:00:00,1
03-01 01:30-00,2020-03-01 01:30:00,15.05,6.2,2.84,1.2,207.8,01:30:00,1
03-01 02:00-00,2020-03-01 02:00:00,12.76,6.0,2.8000000000000003,1.56,196.8,02:00:00,2
03-01 02:30-00,2020-03-01 02:30:00,11.5,6.0,2.8400000000000003,1.34,186.0,02:30:00,2
03-01 03:00-00,2020-03-01 03:00:00,11.84,6.2,2.9,1.5399999999999998,181.0,03:00:00,3
03-01 03:30-00,2020-03-01 03:30:00,10.92,6.0,2.9,1.2799999999999998,192.6,03:30:00,3
03-01 04:00-00,2020-03-01 04:00:00,11.16,6.0,3.1,1.4400000000000002,222.0,04:00:00,4
03-01 04:30-00,2020-03-01 04:30:00,11.32,6.2,3.16,1.58,217.8,04:30:00,4
03-01 05:00-00,2020-03-01 05:00:00,10.8,6.0,3.0799999999999996,1.58,222.4,05:00:00,5
03-01 05:30-00,2020-03-01 05:30:00,11.779999999999998,6.0,2.8400000000000003,1.4600000000000002,217.4,05:30:00,5
03-01 06:00-00,2020-03-01 06:00:00,15.080000000000002,6.0,2.6799999999999997,1.5,207.0,06:00:00,6
03-01 06:30-00,2020-03-01 06:30:00,21.18,6.0,2.54,1.32,198.8,06:30:00,6
03-01 07:00-00,2020-03-01 07:00:00,25.200000000000003,6.2,2.52,1.14,136.6,07:00:00,7
03-01 07:30-00,2020-03-01 07:30:00,31.139999999999997,10.2,2.5,1.3,196.4,07:30:00,7
03-01 08:00-00,2020-03-01 08:00:00,39.96,21.6,2.6,1.3,214.8,08:00:00,8
03-01 08:30-00,2020-03-01 08:30:00,36.4,43.4,2.62,1.2000000000000002,161.8,08:30:00,8
03-01 09:00-00,2020-03-01 09:00:00,31.28,84.2,2.96,1.48,140.4,09:00:00,9
03-01 09:30-00,2020-03-01 09:30:00,29.54,114.4,3.2,1.26,189.6,09:30:00,9
