"Komponente","","'=","339 80 Windgeschwindigkeit WIG m/s"
"Station","","'=","4453 Heidelberg HD 10 49"
"Aggregation / Periode","","'=","0000000030 30 Minutenwert fest"
"Zeitraum","","'=","Mon Feb 22 00:00:00 CET 2021 Sun Feb 28 23:59:59 CET 2021"


"Stationsnummer","Messstelle","Komponente / Einheit","Datum / Uhrzeit","Wert","Aggregationszeitraum","Aggregationsart"
"4453","Heidelberg","Windgeschwindigkeit m/s","2021-02-22 00:30","           1,0","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windgeschwindigkeit m/s","2021-02-22 01:00","           1,1","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windgeschwindigkeit m/s","2021-02-22 01:30","           1,0","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windgeschwindigkeit m/s","2021-02-22 02:00","           1,0","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windgeschwindigkeit m/s","2021-02-22 02:30","           1,1","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windgeschwindigkeit m/s","2021-02-22 03:00","           0,9","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windgeschwindigkeit m/s","2021-02-22 03:30","           0,6","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windgeschwindigkeit m/s","2021-02-22 04:00","           0,6","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windgeschwindigkeit m/s","2021-02-22 04:30","           0,7","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windgeschwindigkeit m/s","2021-02-22 05:00","           0,6","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windgeschwindigkeit m/s","2021-02-22 05:30","           0,9","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windgeschwindigkeit m/s","2021-02-22 06:00","           1,0","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windgeschwindigkeit m/s","2021-02-22 06:30","           1,0","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windgeschwindigkeit m/s","2021-02-22 07:00","           0,4","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windgeschwindigkeit m/s","2021-02-22 07:30","           0,2","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windgeschwindigkeit m/s","2021-02-22 08:00","           0,2","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windgeschwindigkeit m/s","2021-02-22 08:30","           0,3","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windgeschwindigkeit m/s","2021-02-22 09:00","           0,4","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windgeschwindigkeit m/s","2021-02-22 09:30","           0,5","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windgeschwindigkeit m/s","2021-02-22 10:00","           1,3","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windgeschwindigkeit m/s","2021-02-22 10:30","           1,5","30 Minutenwert","Mittelwert (arithm.)"
