"Komponente","","'=","338 51 Windrichtung WIR °"
"Station","","'=","4453 Heidelberg HD 10 49"
"Aggregation / Periode","","'=","0000000030 30 Minutenwert fest"
"Zeitraum","","'=","Mon Feb 22 00:00:00 CET 2021 Sun Feb 28 23:59:59 CET 2021"


"Stationsnummer","Messstelle","Komponente / Einheit","Datum / Uhrzeit","Wert","Aggregationszeitraum","Aggregationsart"
"4453","Heidelberg","Windrichtung °","2021-02-22 00:30","         329","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 01:00","         117","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 01:30","         226","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 02:00","         225","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 02:30","         278","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 03:00","         278","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 03:30","         262","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 04:00","         255","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 04:30","         176","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 05:00","         191","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 05:30","         181","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 06:00","         177","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 06:30","         299","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 07:00","         244","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 07:30","         106","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 08:00","         131","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 08:30","         111","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 09:00","         167","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 09:30","         343","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 10:00","         339","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 10:30","         323","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 11:00","         301","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 11:30","         324","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 12:00","         309","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 12:30","         309","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 13:00","         343","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 13:30","         304","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 14:00","         340","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 14:30","         332","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 15:00","         316","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 15:30","         319","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 16:00","         321","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 16:30","         311","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 17:00","         324","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 17:30","         320","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 18:00","         290","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 18:30","         154","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 19:00","         144","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 19:30","          19","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 20:00","         142","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 20:30","         159","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 21:00","         172","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 21:30","          27","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 22:00","         167","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 22:30","         342","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 23:00","          92","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 23:30","","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-22 24:00","         159","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 00:30","         254","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 01:00","         140","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 01:30","         132","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 02:00","         169","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 02:30","         125","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 03:00","         172","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 03:30","         181","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 04:00","         157","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 04:30","         137","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 05:00","         179","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 05:30","         167","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 06:00","         161","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 06:30","         173","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 07:00","           1","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 07:30","         195","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 08:00","         161","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 08:30","         162","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 09:00","         164","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 09:30","          21","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 10:00","         120","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 10:30","         166","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 11:00","         136","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 11:30","         154","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 12:00","         154","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 12:30","         161","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 13:00","         159","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 13:30","         172","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 14:00","         172","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 14:30","         162","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 15:00","         165","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 15:30","         177","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 16:00","         172","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 16:30","         170","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 17:00","         161","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 17:30","         159","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 18:00","         160","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 18:30","         163","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 19:00","         160","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 19:30","         168","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 20:00","         165","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 20:30","         169","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 21:00","         166","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 21:30","         167","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 22:00","         164","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 22:30","         165","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 23:00","         165","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 23:30","","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-23 24:00","         327","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 00:30","         153","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 01:00","         164","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 01:30","         163","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 02:00","         169","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 02:30","         165","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 03:00","         165","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 03:30","         165","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 04:00","         164","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 04:30","         166","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 05:00","         169","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 05:30","         164","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 06:00","         162","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 06:30","         167","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 07:00","         166","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 07:30","         165","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 08:00","         166","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 08:30","         168","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 09:00","         167","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 09:30","         164","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 10:00","         161","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 10:30","         166","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 11:00","         170","30 Minutenwert","Mittelwert (arithm.)"
"4453","Heidelberg","Windrichtung °","2021-02-24 11:30","         165","30 Minutenwert","Mittelwert (arithm.)"
