,Jahr,Monat,Tag,Zeit,WiRi Grad,WiGe m/s,Lufttemp,Rel. Feuchte
0,1994,4,1,0,999,99.9,99.9,999
1,1994,4,1,30,999,99.9,99.9,999
2,1994,4,1,100,999,99.9,99.9,999
3,1994,4,1,130,999,99.9,99.9,999
4,1994,4,1,200,999,99.9,99.9,999
5,1994,4,1,230,999,99.9,99.9,999
6,1994,4,1,300,999,99.9,99.9,999
7,1994,4,1,330,999,99.9,99.9,999
8,1994,4,1,400,999,99.9,99.9,999
9,1994,4,1,430,999,99.9,99.9,999
10,1994,4,1,500,999,99.9,99.9,999
11,1994,4,1,530,999,99.9,99.9,999
12,1994,4,1,600,999,99.9,99.9,999
13,1994,4,1,630,999,99.9,99.9,999
14,1994,4,1,700,999,99.9,99.9,999
15,1994,4,1,730,999,99.9,99.9,999
16,1994,4,1,800,999,99.9,99.9,999
17,1994,4,1,830,999,99.9,99.9,999
18,1994,4,1,900,999,99.9,99.9,999
19,1994,4,1,930,999,99.9,99.9,999
20,1994,4,1,1000,999,99.9,99.9,999
21,1994,4,1,1030,999,99.9,99.9,999
22,1994,4,1,1100,999,99.9,99.9,999
23,1994,4,1,1130,999,99.9,99.9,999
24,1994,4,1,1200,999,99.9,99.9,999
25,1994,4,1,1230,999,99.9,99.9,999
26,1994,4,1,1300,999,99.9,99.9,999
27,1994,4,1,1330,999,99.9,99.9,999
28,1994,4,1,1400,999,99.9,99.9,999
29,1994,4,1,1430,999,99.9,99.9,999
30,1994,4,1,1500,999,99.9,99.9,999
31,1994,4,1,1530,999,99.9,99.9,999
32,1994,4,1,1600,999,99.9,99.9,999
33,1994,4,1,1630,999,99.9,99.9,999
34,1994,4,1,1700,999,99.9,99.9,999
35,1994,4,1,1730,999,99.9,99.9,999
36,1994,4,1,1800,999,99.9,99.9,999
37,1994,4,1,1830,999,99.9,99.9,999
38,1994,4,1,1900,999,99.9,99.9,999
39,1994,4,1,1930,999,99.9,99.9,999
40,1994,4,1,2000,999,99.9,99.9,999
41,1994,4,1,2030,999,99.9,99.9,999
42,1994,4,1,2100,999,99.9,99.9,999
43,1994,4,1,2130,999,99.9,99.9,999
44,1994,4,1,2200,999,99.9,99.9,999
45,1994,4,1,2230,999,99.9,99.9,999
46,1994,4,1,2300,999,99.9,99.9,999
47,1994,4,1,2330,999,99.9,99.9,999
48,1994,4,2,0,999,99.9,99.9,999
49,1994,4,2,30,999,99.9,99.9,999
50,1994,4,2,100,999,99.9,99.9,999
51,1994,4,2,130,999,99.9,99.9,999
52,1994,4,2,200,999,99.9,99.9,999
53,1994,4,2,230,999,99.9,99.9,999
54,1994,4,2,300,999,99.9,99.9,999
55,1994,4,2,330,999,99.9,99.9,999
56,1994,4,2,400,999,99.9,99.9,999
57,1994,4,2,430,999,99.9,99.9,999
58,1994,4,2,500,999,99.9,99.9,999
59,1994,4,2,530,999,99.9,99.9,999
60,1994,4,2,600,999,99.9,99.9,999
61,1994,4,2,630,999,99.9,99.9,999
62,1994,4,2,700,999,99.9,99.9,999
63,1994,4,2,730,999,99.9,99.9,999
64,1994,4,2,800,999,99.9,99.9,999
65,1994,4,2,830,999,99.9,99.9,999
66,1994,4,2,900,999,99.9,99.9,999
67,1994,4,2,930,999,99.9,99.9,999
68,1994,4,2,1000,999,99.9,99.9,999
69,1994,4,2,1030,999,99.9,99.9,999
