,Jahr,Monat,Tag,Zeit,WiRi Grad,WiGe m/s,Lufttemp,Rel. Feuchte
0,1989,3,1,0,999,99.9,99.9,999
1,1989,3,1,30,999,99.9,99.9,999
2,1989,3,1,100,999,99.9,99.9,999
3,1989,3,1,130,999,99.9,99.9,999
4,1989,3,1,200,999,99.9,99.9,999
5,1989,3,1,230,999,99.9,99.9,999
6,1989,3,1,300,999,99.9,99.9,999
7,1989,3,1,330,999,99.9,99.9,999
8,1989,3,1,400,999,99.9,99.9,999
9,1989,3,1,430,999,99.9,99.9,999
10,1989,3,1,500,999,99.9,99.9,999
11,1989,3,1,530,999,99.9,99.9,999
12,1989,3,1,600,999,99.9,99.9,999
13,1989,3,1,630,999,99.9,99.9,999
14,1989,3,1,700,999,99.9,99.9,999
15,1989,3,1,730,999,99.9,99.9,999
16,1989,3,1,800,999,99.9,99.9,999
17,1989,3,1,830,999,99.9,99.9,999
18,1989,3,1,900,999,99.9,99.9,999
19,1989,3,1,930,999,99.9,99.9,999
20,1989,3,1,1000,999,99.9,99.9,999
21,1989,3,1,1030,999,99.9,99.9,999
22,1989,3,1,1100,999,99.9,99.9,999
23,1989,3,1,1130,999,99.9,99.9,999
24,1989,3,1,1200,999,99.9,99.9,999
25,1989,3,1,1230,999,99.9,99.9,999
26,1989,3,1,1300,999,99.9,99.9,999
27,1989,3,1,1330,999,99.9,99.9,999
28,1989,3,1,1400,999,99.9,99.9,999
29,1989,3,1,1430,999,99.9,99.9,999
30,1989,3,1,1500,999,99.9,99.9,999
31,1989,3,1,1530,999,99.9,99.9,999
32,1989,3,1,1600,999,99.9,99.9,999
33,1989,3,1,1630,999,99.9,99.9,999
34,1989,3,1,1700,999,99.9,99.9,999
35,1989,3,1,1730,999,99.9,99.9,999
36,1989,3,1,1800,999,99.9,99.9,999
37,1989,3,1,1830,999,99.9,99.9,999
38,1989,3,1,1900,999,99.9,99.9,999
39,1989,3,1,1930,999,99.9,99.9,999
40,1989,3,1,2000,999,99.9,99.9,999
41,1989,3,1,2030,999,99.9,99.9,999
42,1989,3,1,2100,999,99.9,99.9,999
43,1989,3,1,2130,999,99.9,99.9,999
44,1989,3,1,2200,999,99.9,99.9,999
45,1989,3,1,2230,999,99.9,99.9,999
46,1989,3,1,2300,999,99.9,99.9,999
47,1989,3,1,2330,999,99.9,99.9,999
48,1989,3,2,0,999,99.9,99.9,999
49,1989,3,2,30,999,99.9,99.9,999
50,1989,3,2,100,999,99.9,99.9,999
51,1989,3,2,130,999,99.9,99.9,999
52,1989,3,2,200,999,99.9,99.9,999
53,1989,3,2,230,999,99.9,99.9,999
54,1989,3,2,300,999,99.9,99.9,999
55,1989,3,2,330,999,99.9,99.9,999
56,1989,3,2,400,999,99.9,99.9,999
57,1989,3,2,430,999,99.9,99.9,999
58,1989,3,2,500,999,99.9,99.9,999
59,1989,3,2,530,999,99.9,99.9,999
60,1989,3,2,600,999,99.9,99.9,999
61,1989,3,2,630,999,99.9,99.9,999
62,1989,3,2,700,999,99.9,99.9,999
63,1989,3,2,730,999,99.9,99.9,999
64,1989,3,2,800,999,99.9,99.9,999
65,1989,3,2,830,999,99.9,99.9,999
66,1989,3,2,900,999,99.9,99.9,999
67,1989,3,2,930,999,99.9,99.9,999
68,1989,3,2,1000,999,99.9,99.9,999
69,1989,3,2,1030,999,99.9,99.9,999
70,1989,3,2,1100,999,99.9,99.9,999
71,1989,3,2,1130,999,99.9,99.9,999
72,1989,3,2,1200,999,99.9,99.9,999
73,1989,3,2,1230,999,99.9,99.9,999
74,1989,3,2,1300,999,99.9,99.9,999
75,1989,3,2,1330,999,99.9,99.9,999
76,1989,3,2,1400,999,99.9,99.9,999
77,1989,3,2,1430,999,99.9,99.9,999
78,1989,3,2,1500,999,99.9,99.9,999
79,1989,3,2,1530,999,99.9,99.9,999
80,1989,3,2,1600,999,99.9,99.9,999
81,1989,3,2,1630,999,99.9,99.9,999
82,1989,3,2,1700,999,99.9,99.9,999
83,1989,3,2,1730,999,99.9,99.9,999
84,1989,3,2,1800,999,99.9,99.9,999
85,1989,3,2,1830,999,99.9,99.9,999
86,1989,3,2,1900,999,99.9,99.9,999
87,1989,3,2,1930,999,99.9,99.9,999
88,1989,3,2,2000,999,99.9,99.9,999
89,1989,3,2,2030,999,99.9,99.9,999
90,1989,3,2,2100,999,99.9,99.9,999
91,1989,3,2,2130,999,99.9,99.9,999
92,1989,3,2,2200,999,99.9,99.9,999
93,1989,3,2,2230,999,99.9,99.9,999
94,1989,3,2,2300,999,99.9,99.9,999
95,1989,3,2,2330,999,99.9,99.9,999
96,1989,3,3,0,999,99.9,99.9,999
97,1989,3,3,30,999,99.9,99.9,999
98,1989,3,3,100,999,99.9,99.9,999
99,1989,3,3,130,999,99.9,99.9,999
100,1989,3,3,200,999,99.9,99.9,999
101,1989,3,3,230,999,99.9,99.9,999
102,1989,3,3,300,999,99.9,99.9,999
103,1989,3,3,330,999,99.9,99.9,999
104,1989,3,3,400,999,99.9,99.9,999
105,1989,3,3,430,999,99.9,99.9,999
106,1989,3,3,500,999,99.9,99.9,999
107,1989,3,3,530,999,99.9,99.9,999
108,1989,3,3,600,999,99.9,99.9,999
109,1989,3,3,630,999,99.9,99.9,999
110,1989,3,3,700,999,99.9,99.9,999
111,1989,3,3,730,999,99.9,99.9,999
112,1989,3,3,800,999,99.9,99.9,999
113,1989,3,3,830,999,99.9,99.9,999
114,1989,3,3,900,999,99.9,99.9,999
115,1989,3,3,930,999,99.9,99.9,999
116,1989,3,3,1000,999,99.9,99.9,999
117,1989,3,3,1030,999,99.9,99.9,999
118,1989,3,3,1100,999,99.9,99.9,999
119,1989,3,3,1130,999,99.9,99.9,999
120,1989,3,3,1200,999,99.9,99.9,999
121,1989,3,3,1230,999,99.9,99.9,999
122,1989,3,3,1300,999,99.9,99.9,999
123,1989,3,3,1330,999,99.9,99.9,999
124,1989,3,3,1400,999,99.9,99.9,999
125,1989,3,3,1430,999,99.9,99.9,999
126,1989,3,3,1500,999,99.9,99.9,999
127,1989,3,3,1530,999,99.9,99.9,999
128,1989,3,3,1600,999,99.9,99.9,999
129,1989,3,3,1630,999,99.9,99.9,999
130,1989,3,3,1700,999,99.9,99.9,999
131,1989,3,3,1730,999,99.9,99.9,999
132,1989,3,3,1800,999,99.9,99.9,999
133,1989,3,3,1830,999,99.9,99.9,999
134,1989,3,3,1900,999,99.9,99.9,999
135,1989,3,3,1930,999,99.9,99.9,999
136,1989,3,3,2000,999,99.9,99.9,999
137,1989,3,3,2030,999,99.9,99.9,999
