Jahr,Monat,Tag,Zeit,WiRi Grad,WiGe m/s,Lufttemp,Rel. Feuchte
1989,03,01,0000,999,99.9, 99.9,999
1989,03,01,0030,999,99.9, 99.9,999
1989,03,01,0100,999,99.9, 99.9,999
1989,03,01,0130,999,99.9, 99.9,999
1989,03,01,0200,999,99.9, 99.9,999
1989,03,01,0230,999,99.9, 99.9,999
1989,03,01,0300,999,99.9, 99.9,999
1989,03,01,0330,999,99.9, 99.9,999
1989,03,01,0400,999,99.9, 99.9,999
1989,03,01,0430,999,99.9, 99.9,999
1989,03,01,0500,999,99.9, 99.9,999
1989,03,01,0530,999,99.9, 99.9,999
1989,03,01,0600,999,99.9, 99.9,999
1989,03,01,0630,999,99.9, 99.9,999
1989,03,01,0700,999,99.9, 99.9,999
1989,03,01,0730,999,99.9, 99.9,999
1989,03,01,0800,999,99.9, 99.9,999
1989,03,01,0830,999,99.9, 99.9,999
1989,03,01,0900,999,99.9, 99.9,999
1989,03,01,0930,999,99.9, 99.9,999
1989,03,01,1000,999,99.9, 99.9,999
1989,03,01,1030,999,99.9, 99.9,999
1989,03,01,1100,999,99.9, 99.9,999
1989,03,01,1130,999,99.9, 99.9,999
1989,03,01,1200,999,99.9, 99.9,999
1989,03,01,1230,999,99.9, 99.9,999
1989,03,01,1300,999,99.9, 99.9,999
1989,03,01,1330,999,99.9, 99.9,999
1989,03,01,1400,999,99.9, 99.9,999
1989,03,01,1430,999,99.9, 99.9,999
1989,03,01,1500,999,99.9, 99.9,999
1989,03,01,1530,999,99.9, 99.9,999
1989,03,01,1600,999,99.9, 99.9,999
1989,03,01,1630,999,99.9, 99.9,999
1989,03,01,1700,999,99.9, 99.9,999
1989,03,01,1730,999,99.9, 99.9,999
1989,03,01,1800,999,99.9, 99.9,999
1989,03,01,1830,999,99.9, 99.9,999
1989,03,01,1900,999,99.9, 99.9,999
1989,03,01,1930,999,99.9, 99.9,999
1989,03,01,2000,999,99.9, 99.9,999
1989,03,01,2030,999,99.9, 99.9,999
1989,03,01,2100,999,99.9, 99.9,999
1989,03,01,2130,999,99.9, 99.9,999
1989,03,01,2200,999,99.9, 99.9,999
1989,03,01,2230,999,99.9, 99.9,999
1989,03,01,2300,999,99.9, 99.9,999
1989,03,01,2330,999, 0.0, 99.9,999
1989,03,02,0000,999,99.9, 99.9,999
1989,03,02,0030,999,99.9, 99.9,999
1989,03,02,0100,999,99.9, 99.9,999
1989,03,02,0130,999,99.9, 99.9,999
1989,03,02,0200,999,99.9, 99.9,999
1989,03,02,0230,999,99.9, 99.9,999
1989,03,02,0300,999,99.9, 99.9,999
1989,03,02,0330,999,99.9, 99.9,999
1989,03,02,0400,999,99.9, 99.9,999
1989,03,02,0430,999,99.9, 99.9,999
1989,03,02,0500,999,99.9, 99.9,999
1989,03,02,0530,999,99.9, 99.9,999
1989,03,02,0600,999,99.9, 99.9,999
1989,03,02,0630,999,99.9, 99.9,999
1989,03,02,0700,999,99.9, 99.9,999
1989,03,02,0730,999,99.9, 99.9,999
1989,03,02,0800,999,99.9, 99.9,999
1989,03,02,0830,999,99.9, 99.9,999
1989,03,02,0900,999,99.9, 99.9,999
1989,03,02,0930,999,99.9, 99.9,999
1989,03,02,1000,999,99.9, 99.9,999
1989,03,02,1030,999,99.9, 99.9,999
1989,03,02,1100,999,99.9, 99.9,999
1989,03,02,1130,999,99.9, 99.9,999
1989,03,02,1200,999,99.9, 99.9,999
1989,03,02,1230,999,99.9, 99.9,999
1989,03,02,1300,999,99.9, 99.9,999
1989,03,02,1330,999,99.9, 99.9,999
1989,03,02,1400,999,99.9, 99.9,999
1989,03,02,1430,999,99.9, 99.9,999
1989,03,02,1500,999,99.9, 99.9,999
1989,03,02,1530,999,99.9, 99.9,999
1989,03,02,1600,999,99.9, 99.9,999
1989,03,02,1630,999,99.9, 99.9,999
1989,03,02,1700,999,99.9, 99.9,999
1989,03,02,1730,999,99.9, 99.9,999
1989,03,02,1800,999,99.9, 99.9,999
1989,03,02,1830,999,99.9, 99.9,999
1989,03,02,1900,999,99.9, 99.9,999
1989,03,02,1930,999,99.9, 99.9,999
1989,03,02,2000,999,99.9, 99.9,999
1989,03,02,2030,999,99.9, 99.9,999
1989,03,02,2100,999,99.9, 99.9,999
1989,03,02,2130,999,99.9, 99.9,999
1989,03,02,2200,999,99.9, 99.9,999
1989,03,02,2230,999,99.9, 99.9,999
1989,03,02,2300,999,99.9, 99.9,999
1989,03,02,2330,999,99.9, 99.9,999
1989,03,03,0000,999,99.9, 99.9,999
1989,03,03,0030,999,99.9, 99.9,999
1989,03,03,0100,999,99.9, 99.9,999
1989,03,03,0130,999,99.9, 99.9,999
1989,03,03,0200,999,99.9, 99.9,999
1989,03,03,0230,999,99.9, 99.9,999
1989,03,03,0300,999,99.9, 99.9,999
1989,03,03,0330,999,99.9, 99.9,999
1989,03,03,0400,999,99.9, 99.9,999
1989,03,03,0430,999,99.9, 99.9,999
1989,03,03,0500,999,99.9, 99.9,999
1989,03,03,0530,999,99.9, 99.9,999
1989,03,03,0600,999,99.9, 99.9,999
1989,03,03,0630,999,99.9, 99.9,999
1989,03,03,0700,999,99.9, 99.9,999
1989,03,03,0730,999,99.9, 99.9,999
1989,03,03,0800,999,99.9, 99.9,999
1989,03,03,0830,999,99.9, 99.9,999
1989,03,03,0900,999,99.9, 99.9,999
1989,03,03,0930,999,99.9, 99.9,999
1989,03,03,1000,999,99.9, 99.9,999
1989,03,03,1030,999,99.9, 99.9,999
1989,03,03,1100,999,99.9, 99.9,999
1989,03,03,1130,999,99.9, 99.9,999
1989,03,03,1200,999,99.9, 99.9,999
1989,03,03,1230,999,99.9, 99.9,999
1989,03,03,1300,999,99.9, 99.9,999
1989,03,03,1330,999,99.9, 99.9,999
1989,03,03,1400,999,99.9, 99.9,999
1989,03,03,1430,999,99.9, 99.9,999
1989,03,03,1500,999,99.9, 99.9,999
1989,03,03,1530,999,99.9, 99.9,999
1989,03,03,1600,999,99.9, 99.9,999
1989,03,03,1630,999,99.9, 99.9,999
1989,03,03,1700,999,99.9, 99.9,999
1989,03,03,1730,999,99.9, 99.9,999
1989,03,03,1800,999,99.9, 99.9,999
1989,03,03,1830,999,99.9, 99.9,999
1989,03,03,1900,999,99.9, 99.9,999
1989,03,03,1930,999,99.9, 99.9,999
1989,03,03,2000,999,99.9, 99.9,999
1989,03,03,2030,999,99.9, 99.9,999
1989,03,03,2100,999,99.9, 99.9,999
1989,03,03,2130,999,99.9, 99.9,999
1989,03,03,2200,999,99.9, 99.9,999
1989,03,03,2230,999,99.9, 99.9,999
1989,03,03,2300,999,99.9, 99.9,999
1989,03,03,2330,999,99.9, 99.9,999
1989,03,04,0000,999,99.9, 99.9,999
1989,03,04,0030,999,99.9, 99.9,999
1989,03,04,0100,999,99.9, 99.9,999
1989,03,04,0130,999,99.9, 99.9,999
1989,03,04,0200,999,99.9, 99.9,999
1989,03,04,0230,999,99.9, 99.9,999
1989,03,04,0300,999,99.9, 99.9,999
1989,03,04,0330,999,99.9, 99.9,999
1989,03,04,0400,999,99.9, 99.9,999
1989,03,04,0430,999,99.9, 99.9,999
1989,03,04,0500,999,99.9, 99.9,999
1989,03,04,0530,999,99.9, 99.9,999
1989,03,04,0600,999,99.9, 99.9,999
1989,03,04,0630,999,99.9, 99.9,999
1989,03,04,0700,999,99.9, 99.9,999
1989,03,04,0730,999,99.9, 99.9,999
1989,03,04,0800,999,99.9, 99.9,999
1989,03,04,0830,999,99.9, 99.9,999
1989,03,04,0900,999,99.9, 99.9,999
1989,03,04,0930,999,99.9, 99.9,999
1989,03,04,1000,999,99.9, 99.9,999
1989,03,04,1030,999,99.9, 99.9,999
1989,03,04,1100,999,99.9, 99.9,999
1989,03,04,1130,999,99.9, 99.9,999
1989,03,04,1200,999,99.9, 99.9,999
1989,03,04,1230,999,99.9, 99.9,999
1989,03,04,1300,999,99.9, 99.9,999
1989,03,04,1330,999,99.9, 99.9,999
1989,03,04,1400,999,99.9, 99.9,999
1989,03,04,1430,999,99.9, 99.9,999
1989,03,04,1500,999,99.9, 99.9,999
1989,03,04,1530,999,99.9, 99.9,999
1989,03,04,1600,999,99.9, 99.9,999
1989,03,04,1630,999,99.9, 99.9,999
1989,03,04,1700,999,99.9, 99.9,999
1989,03,04,1730,999,99.9, 99.9,999
1989,03,04,1800,999,99.9, 99.9,999
1989,03,04,1830,999,99.9, 99.9,999
1989,03,04,1900,999,99.9, 99.9,999
